,geneName,ensId,keggId,keggBriteId,Functional Annotation Group,Functional Annotation Subgroup,Functional Annotation,TCGA-3C-AAAU-01_BRCA,order
12288,AFF1,ENSG00000172493.20,hsa:4299,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.74,3.621186776874119
12289,AFF1,ENSG00000172493.20,hsa:4299,3021,Genes and Proteins,Protein families: genetic information processing,Transcription machinery,3.74,3.621186776874119
12290,DMP1,ENSG00000152592.13,hsa:1758,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-3.458,-6.006251702676098
12291,IBSP,ENSG00000029559.6,hsa:3381,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.1669,-0.9364763871578868
12292,SPP1,ENSG00000118785.13,hsa:6696,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),7.5748,6.831996262207637
12293,PKD2,ENSG00000118762.7,hsa:5311,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.6532,2.9795815861802906
12294,PKD2,ENSG00000118762.7,hsa:5311,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,3.6532,2.9795815861802906
12295,PKD2,ENSG00000118762.7,hsa:5311,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,3.6532,2.9795815861802906
12296,ABCG2,ENSG00000118777.10,hsa:9429,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.1316,0.1734814340086818
12297,ABCG2,ENSG00000118777.10,hsa:9429,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,1.1316,0.1734814340086818
12298,ABCG2,ENSG00000118777.10,hsa:9429,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,1.1316,0.1734814340086818
12299,ABCG2,ENSG00000118777.10,hsa:9429,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,1.1316,0.1734814340086818
12300,PPM1K,ENSG00000163644.14,hsa:152926,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.2636,2.2208586772909182
12301,PPM1K,ENSG00000163644.14,hsa:152926,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.2636,2.2208586772909182
12302,PPM1K,ENSG00000163644.14,hsa:152926,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,1.2636,2.2208586772909182
12303,HERC6,ENSG00000138642.14,hsa:55008,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.6695,2.8870349912136093
12304,HERC6,ENSG00000138642.14,hsa:55008,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,1.6695,2.8870349912136093
12305,HERC6,ENSG00000138642.14,hsa:55008,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.6695,2.8870349912136093
12306,HERC5,ENSG00000138646.8,hsa:51191,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.4441,2.280077060885925
12307,HERC5,ENSG00000138646.8,hsa:51191,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,1.4441,2.280077060885925
12308,HERC5,ENSG00000138646.8,hsa:51191,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.4441,2.280077060885925
12309,PIGY,ENSG00000255072.1,hsa:84992,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.6136,3.0341785197574564
12310,NAP1L5,ENSG00000177432.6,hsa:266812,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.3479,1.4890573003638028
12311,NAP1L5,ENSG00000177432.6,hsa:266812,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,2.3479,1.4890573003638028
12312,SNCA,ENSG00000145335.15,hsa:6622,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.9115,1.5489870196331672
12313,SNCA,ENSG00000145335.15,hsa:6622,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,0.9115,1.5489870196331672
12314,GRID2,ENSG00000152208.11,hsa:2895,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.1031,-7.59803273196851
12315,GRID2,ENSG00000152208.11,hsa:2895,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,-0.1031,-7.59803273196851
12316,HPGDS,ENSG00000163106.10,hsa:27306,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.2522,1.0603016900737525
12317,HPGDS,ENSG00000163106.10,hsa:27306,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.2522,1.0603016900737525
12318,PDLIM5,ENSG00000163110.14,hsa:10611,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.7882,5.250051597210695
12319,BMPR1B,ENSG00000138696.10,hsa:658,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.0395,2.3186789763773805
12320,BMPR1B,ENSG00000138696.10,hsa:658,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,2.0395,2.3186789763773805
12321,BMPR1B,ENSG00000138696.10,hsa:658,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.0395,2.3186789763773805
12322,BMPR1B,ENSG00000138696.10,hsa:658,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,2.0395,2.3186789763773805
12323,UNC5C,ENSG00000182168.14,hsa:8633,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.4224,0.2803077896974945
12324,TSPAN5,ENSG00000168785.7,hsa:10098,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.0833,3.2305102194577673
12325,TSPAN5,ENSG00000168785.7,hsa:10098,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,4.0833,3.2305102194577673
12326,ADH4,ENSG00000198099.8,hsa:127,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-5.705964068406749
12327,ADH4,ENSG00000198099.8,hsa:127,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-9.9658,-5.705964068406749
12328,ADH6,ENSG00000172955.17,hsa:130,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-3.458,-4.959623784494451
12329,ADH6,ENSG00000172955.17,hsa:130,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-3.458,-4.959623784494451
12330,ADH1A,ENSG00000187758.7,hsa:124,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-5.692806596717803
12331,ADH1A,ENSG00000187758.7,hsa:124,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-9.9658,-5.692806596717803
12332,ADH1B,ENSG00000196616.12,hsa:125,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.7183,1.9811225282909808
12333,ADH1B,ENSG00000196616.12,hsa:125,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.7183,1.9811225282909808
12334,ADH1C,ENSG00000248144.5,hsa:126,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-3.0469,-1.1105020286028637
12335,ADH1C,ENSG00000248144.5,hsa:126,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-3.0469,-1.1105020286028637
12336,MTTP,ENSG00000138823.12,hsa:4547,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.7274,-4.525604415580184
12337,DAPP1,ENSG00000070190.12,hsa:27071,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.2815,2.3929261696457216
12338,H2AFZ,ENSG00000164032.11,hsa:3015,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),8.3739,7.987286176043505
12339,H2AFZ,ENSG00000164032.11,hsa:3015,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,8.3739,7.987286176043505
12340,H2AFZ,ENSG00000164032.11,hsa:3015,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,8.3739,7.987286176043505
12341,EMCN,ENSG00000164035.9,hsa:51705,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.2513,3.082839566075396
12342,PPP3CA,ENSG00000138814.16,hsa:5530,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.2987,4.228265166129537
12343,PPP3CA,ENSG00000138814.16,hsa:5530,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.2987,4.228265166129537
12344,PPP3CA,ENSG00000138814.16,hsa:5530,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,4.2987,4.228265166129537
12345,SLC39A8,ENSG00000138821.12,hsa:64116,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.0585,3.6642457076585413
12346,SLC39A8,ENSG00000138821.12,hsa:64116,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,3.0585,3.6642457076585413
12347,BDH2,ENSG00000164039.14,hsa:56898,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.5388,4.861078590318764
12348,BDH2,ENSG00000164039.14,hsa:56898,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.5388,4.861078590318764
12349,CENPE,ENSG00000138778.11,hsa:1062,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.4035,1.1106542902561278
12350,CENPE,ENSG00000138778.11,hsa:1062,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,2.4035,1.1106542902561278
12351,CENPE,ENSG00000138778.11,hsa:1062,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,2.4035,1.1106542902561278
12352,CXXC4,ENSG00000168772.10,hsa:80319,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.3536,0.442564223616261
12353,ARHGEF38,ENSG00000236699.8,hsa:54848,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.5924,1.2489183322606128
12354,ARHGEF38,ENSG00000236699.8,hsa:54848,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,2.5924,1.2489183322606128
12355,NPNT,ENSG00000168743.12,hsa:255743,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.6635,5.383463067702297
12356,DKK2,ENSG00000155011.8,hsa:27123,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.2636,0.21779831861119905
12357,SGMS2,ENSG00000164023.14,hsa:166929,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.0877,1.9036151618395454
12358,SGMS2,ENSG00000164023.14,hsa:166929,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-0.0877,1.9036151618395454
12359,CYP2U1,ENSG00000155016.17,hsa:113612,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.9642,1.3134432856663598
12360,CYP2U1,ENSG00000155016.17,hsa:113612,0199,Genes and Proteins,Protein families: metabolism,Cytochrome P450,0.9642,1.3134432856663598
12361,LEF1,ENSG00000138795.9,hsa:51176,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.4116,3.8706477594276794
12362,LEF1,ENSG00000138795.9,hsa:51176,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,3.4116,3.8706477594276794
12363,ETNPPL,ENSG00000164089.8,hsa:64850,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-4.078007539200789
12364,ETNPPL,ENSG00000164089.8,hsa:64850,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-9.9658,-4.078007539200789
12365,CASP6,ENSG00000138794.9,hsa:839,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.7093,4.778161914935885
12366,CASP6,ENSG00000138794.9,hsa:839,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.7093,4.778161914935885
12367,CASP6,ENSG00000138794.9,hsa:839,1002,Genes and Proteins,Protein families: metabolism,Peptidases,4.7093,4.778161914935885
12368,CFI,ENSG00000205403.12,hsa:3426,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.0079,3.131021895251061
12369,CFI,ENSG00000205403.12,hsa:3426,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,1.0079,3.131021895251061
12370,CFI,ENSG00000205403.12,hsa:3426,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.0079,3.131021895251061
12371,CFI,ENSG00000205403.12,hsa:3426,1002,Genes and Proteins,Protein families: metabolism,Peptidases,1.0079,3.131021895251061
12372,RRH,ENSG00000180245.4,hsa:10692,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.8262,-2.595293496185881
12373,RRH,ENSG00000180245.4,hsa:10692,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-2.8262,-2.595293496185881
12374,EGF,ENSG00000138798.11,hsa:1950,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.3201,0.7684340153924443
12375,EGF,ENSG00000138798.11,hsa:1950,4052,Genes and Proteins,Protein families: signaling and cellular processes,Cytokines and growth factors,-0.3201,0.7684340153924443
12376,ELOVL6,ENSG00000170522.9,hsa:79071,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.6487,2.8388537778110896
12377,ELOVL6,ENSG00000170522.9,hsa:79071,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.6487,2.8388537778110896
12378,ELOVL6,ENSG00000170522.9,hsa:79071,1004,Genes and Proteins,Protein families: metabolism,Lipid biosynthesis proteins,2.6487,2.8388537778110896
12379,ENPEP,ENSG00000138792.9,hsa:2028,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.9859,1.365613505121995
12380,ENPEP,ENSG00000138792.9,hsa:2028,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,1.9859,1.365613505121995
12381,ENPEP,ENSG00000138792.9,hsa:2028,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,1.9859,1.365613505121995
12382,ENPEP,ENSG00000138792.9,hsa:2028,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.9859,1.365613505121995
12383,ENPEP,ENSG00000138792.9,hsa:2028,1002,Genes and Proteins,Protein families: metabolism,Peptidases,1.9859,1.365613505121995
12384,PITX2,ENSG00000164093.15,hsa:5308,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.3884,-1.1751105850668377
12385,PITX2,ENSG00000164093.15,hsa:5308,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-2.3884,-1.1751105850668377
12386,ANK2,ENSG00000145362.16,hsa:287,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.2998,1.7152896038443652
12387,ANK2,ENSG00000145362.16,hsa:287,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,0.2998,1.7152896038443652
12388,CAMK2D,ENSG00000145349.16,hsa:817,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.6281,3.6315596818202045
12389,CAMK2D,ENSG00000145349.16,hsa:817,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.6281,3.6315596818202045
12390,CAMK2D,ENSG00000145349.16,hsa:817,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,1.6281,3.6315596818202045
12391,ARSJ,ENSG00000180801.12,hsa:79642,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.5105,0.30349522938519724
12392,ARSJ,ENSG00000180801.12,hsa:79642,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-1.5105,0.30349522938519724
12393,UGT8,ENSG00000174607.10,hsa:7368,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.6082,-1.0409499485617253
12394,UGT8,ENSG00000174607.10,hsa:7368,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-4.6082,-1.0409499485617253
12395,UGT8,ENSG00000174607.10,hsa:7368,1003,Genes and Proteins,Protein families: metabolism,Glycosyltransferases,-4.6082,-1.0409499485617253
12396,NDST3,ENSG00000164100.8,hsa:9348,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.3884,-4.470857104257568
12397,NDST3,ENSG00000164100.8,hsa:9348,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-2.3884,-4.470857104257568
12398,NDST3,ENSG00000164100.8,hsa:9348,1003,Genes and Proteins,Protein families: metabolism,Glycosyltransferases,-2.3884,-4.470857104257568
12399,PRSS12,ENSG00000164099.3,hsa:8492,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-5.5735,-1.134071012253141
12400,PRSS12,ENSG00000164099.3,hsa:8492,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-5.5735,-1.134071012253141
12401,PRSS12,ENSG00000164099.3,hsa:8492,1002,Genes and Proteins,Protein families: metabolism,Peptidases,-5.5735,-1.134071012253141
12402,SEC24D,ENSG00000150961.14,hsa:9871,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.9792,5.0032739221242775
12403,SEC24D,ENSG00000150961.14,hsa:9871,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,4.9792,5.0032739221242775
12404,PDE5A,ENSG00000138735.15,hsa:8654,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.6187,2.3864508823358452
12405,PDE5A,ENSG00000138735.15,hsa:8654,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.6187,2.3864508823358452
12406,MAD2L1,ENSG00000164109.13,hsa:4085,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.2258,3.8127981010250074
12407,MAD2L1,ENSG00000164109.13,hsa:4085,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,4.2258,3.8127981010250074
12408,PRDM5,ENSG00000138738.10,hsa:11107,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.8836,0.2868501503515273
12409,PRDM5,ENSG00000138738.10,hsa:11107,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-1.8836,0.2868501503515273
12410,QRFPR,ENSG00000186867.10,hsa:84109,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-4.417349246140277
12411,QRFPR,ENSG00000186867.10,hsa:84109,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-9.9658,-4.417349246140277
12412,CCNA2,ENSG00000145386.9,hsa:890,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.3633,2.891884228577939
12413,CCNA2,ENSG00000145386.9,hsa:890,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,3.3633,2.891884228577939
12414,CCNA2,ENSG00000145386.9,hsa:890,3032,Genes and Proteins,Protein families: genetic information processing,DNA replication proteins,3.3633,2.891884228577939
12415,TRPC3,ENSG00000138741.10,hsa:7222,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-3.458,-3.367920111856412
12416,TRPC3,ENSG00000138741.10,hsa:7222,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,-3.458,-3.367920111856412
12417,IL2,ENSG00000109471.4,hsa:3558,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-5.29046240163896
12418,IL2,ENSG00000109471.4,hsa:3558,0536,Genes and Proteins,Protein families: signaling and cellular processes,Glycosaminoglycan binding proteins,-9.9658,-5.29046240163896
12419,IL2,ENSG00000109471.4,hsa:3558,4052,Genes and Proteins,Protein families: signaling and cellular processes,Cytokines and growth factors,-9.9658,-5.29046240163896
12420,BBS12,ENSG00000181004.9,hsa:166379,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.6785,1.2411963180533103
12421,BBS12,ENSG00000181004.9,hsa:166379,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,1.6785,1.2411963180533103
12422,FGF2,ENSG00000138685.12,hsa:2247,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.8339,0.2833725793265191
12423,FGF2,ENSG00000138685.12,hsa:2247,0536,Genes and Proteins,Protein families: signaling and cellular processes,Glycosaminoglycan binding proteins,-0.8339,0.2833725793265191
12424,FGF2,ENSG00000138685.12,hsa:2247,4052,Genes and Proteins,Protein families: signaling and cellular processes,Cytokines and growth factors,-0.8339,0.2833725793265191
12425,SPRY1,ENSG00000164056.10,hsa:10252,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.1606,4.411766762174627
12426,ANKRD50,ENSG00000151458.11,hsa:57182,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.8126,3.2896546406411127
12427,ANKRD50,ENSG00000151458.11,hsa:57182,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,3.8126,3.2896546406411127
12428,FAT4,ENSG00000196159.11,hsa:79633,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.5951,-0.3851117753429399
12429,FAT4,ENSG00000196159.11,hsa:79633,4515,Genes and Proteins,Protein families: signaling and cellular processes,Cell adhesion molecules,-1.5951,-0.3851117753429399
12430,INTU,ENSG00000164066.12,hsa:27152,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.0325,1.2861166004006446
12431,INTU,ENSG00000164066.12,hsa:27152,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,2.0325,1.2861166004006446
12432,HSPA4L,ENSG00000164070.11,hsa:22824,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.7403,1.1997315665093342
12433,HSPA4L,ENSG00000164070.11,hsa:22824,3110,Genes and Proteins,Protein families: genetic information processing,Chaperones and folding catalysts,1.7403,1.1997315665093342
12434,PLK4,ENSG00000142731.10,hsa:10733,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.8462,2.366287418979647
12435,PLK4,ENSG00000142731.10,hsa:10733,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.8462,2.366287418979647
12436,PLK4,ENSG00000142731.10,hsa:10733,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,2.8462,2.366287418979647
12437,PLK4,ENSG00000142731.10,hsa:10733,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,2.8462,2.366287418979647
12438,JADE1,ENSG00000077684.15,hsa:79960,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.5498,3.191285545201364
12439,JADE1,ENSG00000077684.15,hsa:79960,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,3.5498,3.191285545201364
12440,PCDH10,ENSG00000138650.8,hsa:57575,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.9674,-3.677766875729497
12441,PCDH10,ENSG00000138650.8,hsa:57575,4515,Genes and Proteins,Protein families: signaling and cellular processes,Cell adhesion molecules,2.9674,-3.677766875729497
12442,PABPC4L,ENSG00000254535.3,hsa:132430,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.3884,-1.2242919739742544
12443,PABPC4L,ENSG00000254535.3,hsa:132430,3019,Genes and Proteins,Protein families: genetic information processing,Messenger RNA biogenesis,-2.3884,-1.2242919739742544
12444,PABPC4L,ENSG00000254535.3,hsa:132430,3041,Genes and Proteins,Protein families: genetic information processing,Spliceosome,-2.3884,-1.2242919739742544
12445,PCDH18,ENSG00000189184.11,hsa:54510,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.7489,2.5653425277503357
12446,PCDH18,ENSG00000189184.11,hsa:54510,4515,Genes and Proteins,Protein families: signaling and cellular processes,Cell adhesion molecules,1.7489,2.5653425277503357
12447,SLC7A11,ENSG00000151012.13,hsa:23657,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.685,-0.6652736777024534
12448,SLC7A11,ENSG00000151012.13,hsa:23657,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,-1.685,-0.6652736777024534
12449,SETD7,ENSG00000145391.13,hsa:80854,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.4732,4.356227915286541
12450,SETD7,ENSG00000145391.13,hsa:80854,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.4732,4.356227915286541
12451,SETD7,ENSG00000145391.13,hsa:80854,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,4.4732,4.356227915286541
12452,MAML3,ENSG00000196782.12,hsa:55534,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.9338,1.5905272376964121
12453,CLGN,ENSG00000153132.12,hsa:1047,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.9931,1.650250547963156
12454,CLGN,ENSG00000153132.12,hsa:1047,4091,Genes and Proteins,Protein families: signaling and cellular processes,Lectins,1.9931,1.650250547963156
12455,CLGN,ENSG00000153132.12,hsa:1047,3110,Genes and Proteins,Protein families: genetic information processing,Chaperones and folding catalysts,1.9931,1.650250547963156
12456,UCP1,ENSG00000109424.3,hsa:7350,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-5.014787572487849
12457,UCP1,ENSG00000109424.3,hsa:7350,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,-9.9658,-5.014787572487849
12458,TBC1D9,ENSG00000109436.7,hsa:23158,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),8.097,5.919543270889927
12459,TBC1D9,ENSG00000109436.7,hsa:23158,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,8.097,5.919543270889927
12460,IL15,ENSG00000164136.16,hsa:3600,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.0014,1.2304473982445285
12461,IL15,ENSG00000164136.16,hsa:3600,4052,Genes and Proteins,Protein families: signaling and cellular processes,Cytokines and growth factors,0.0014,1.2304473982445285
12462,INPP4B,ENSG00000109452.12,hsa:8821,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.4726,3.2460846828946597
12463,INPP4B,ENSG00000109452.12,hsa:8821,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.4726,3.2460846828946597
12464,GAB1,ENSG00000109458.8,hsa:2549,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.0825,3.169046589656408
12465,HHIP,ENSG00000164161.9,hsa:64399,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-3.1714,-3.6928904043790514
12466,SMAD1,ENSG00000170365.9,hsa:4086,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.6588,4.059581407133789
12467,EDNRA,ENSG00000151617.15,hsa:1909,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.8699,3.03464173356412
12468,EDNRA,ENSG00000151617.15,hsa:1909,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,4.8699,3.03464173356412
12469,ARHGAP10,ENSG00000071205.11,hsa:79658,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.9862,2.526953162087907
12470,ARHGAP10,ENSG00000071205.11,hsa:79658,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,0.9862,2.526953162087907
12471,NR3C2,ENSG00000151623.14,hsa:4306,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.9686,0.45996542494937803
12472,NR3C2,ENSG00000151623.14,hsa:4306,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-0.9686,0.45996542494937803
12473,NR3C2,ENSG00000151623.14,hsa:4306,3310,Genes and Proteins,Protein families: signaling and cellular processes,Nuclear receptors,-0.9686,0.45996542494937803
12474,DCLK2,ENSG00000170390.14,hsa:166614,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.1504,0.7622986299157893
12475,DCLK2,ENSG00000170390.14,hsa:166614,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-0.1504,0.7622986299157893
12476,DCLK2,ENSG00000170390.14,hsa:166614,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,-0.1504,0.7622986299157893
